num_jour,date,discipline,num_session,debut_epreuve,fin_epreuve,lieu_epreuve,nom_epreuve,NOM,Geo Point,SITES OLYMPIQUES PARALYMPIQUES,SPORTS,latitude,longitude,capacite
1,Samedi 27 Juillet,BADMINTON,BDM21,08:30,13:00,Arena Porte de La Chapelle,"Simple femmes, quarts de finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM21,15:00,17:30,Arena Porte de La Chapelle,"Double femmes, match bronze",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM23,08:30,13:00,Arena Porte de La Chapelle,"Simple femmes, demi-finales Simple hommes, demi-finales",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM23,15:00,17:30,Arena Porte de La Chapelle,"Double hommes, match bronze Double hommes, match or",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM25,09:45,12:30,Arena Porte de La Chapelle,"Simple femmes, match bronze Simple femmes, match or",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
1,Samedi 27 Juillet,BADMINTON,BDM25,14:30,17:30,Arena Porte de La Chapelle,"Simple hommes, match bronze Simple hommes, match or *En attente de la décision finale",Arena La Chapelle,"48.899483, 2.361803","Site olympique,Site paralympique","Badminton,Para Badminton,Gymnastique rythmique,Para powerlifting",48.899483,2.361803,9000.0
4,Mardi 30 Juillet,BMX RACING,BMX01,20:00,22:20,Stade BMX de Saint-Quentin-en-Yvelines,"Hommes, quarts de finale Femmes, quarts de finale Hommes, tour de la dernière chance Femmes, tour de la dernière chance",Stade BMX de Saint-Quentin-en-Yvelines,"48.787261, 2.034736",Site olympique,BMX race,48.787261,2.034736,3000.0
4,Mardi 30 Juillet,BMX RACING,BMX02,20:00,22:30,Stade BMX de Saint-Quentin-en-Yvelines,"Hommes, demi-finales Femmes, demi-finales",Stade BMX de Saint-Quentin-en-Yvelines,"48.787261, 2.034736",Site olympique,BMX race,48.787261,2.034736,3000.0
4,Mardi 30 Juillet,CANOE SLALOM,CSL01,15:00,19:10,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Canoë - hommes, éliminatoires - manches 1 et 2 Kayak - femmes, éliminatoires - manches 1 et 2",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,24000.0
4,Mardi 30 Juillet,CANOE SLALOM,CSL02,15:30,18:50,Stade nautique de Vaires-sur-Marne - Bassin eaux vives,"Kayak - femmes, demi-finale Kayak - femmes, finale",Stade nautique,"48.862229, 2.636374","Site olympique,Site paralympique","Canoë,Para canoë,Aviron,Para aviron",48.862229,2.636374,24000.0
